origin_date,target_date,horizon_days,phi,c,forecast,actual,error
2023-03-10,2023-04-06,18,0.9999642010640829,0.0002892881939746691,18.520022338745836,18.1575,0.36252233874583695
2023-03-17,2023-04-14,17,0.9999632304381065,0.00028986903134648286,18.371935086062678,18.1129,0.2590350860626778
2023-03-24,2023-04-21,18,0.9999622301673669,0.00029047108306053446,18.223944338569655,18.0983,0.12564433856965707
2023-03-31,2023-04-28,17,0.999960012624813,0.0002917681393847022,17.86744571509167,18.4303,-0.5628542849083296
2023-04-06,2023-05-05,17,0.9999619877329334,0.00029062830101646894,18.213262443592566,18.3544,-0.14113755640743264
2023-04-14,2023-05-12,18,0.9999616335333706,0.0002908419123409294,18.171566513243356,19.3767,-1.205133486756644
2023-04-21,2023-05-19,18,0.9999614462233651,0.00029095335378631626,18.156788432946453,19.3487,-1.1919115670535483
2023-04-28,2023-05-26,19,0.9999633395909563,0.000289843259785344,18.494477736013934,19.7446,-1.2501222639860643
2023-05-05,2023-06-02,20,0.9999628080963523,0.0002901584261887913,18.42128407584689,19.5325,-1.1112159241531074
2023-05-12,2023-06-09,20,0.9999686646840197,0.0002866618127037834,19.451920272471384,18.8235,0.6284202724713843
2023-05-19,2023-06-15,19,0.9999683747463414,0.00028685177874590746,19.419819949820397,18.3303,1.0895199498203958
2023-05-26,2023-06-23,19,0.9999705285884651,0.0002855387999374199,19.81885968340595,18.6313,1.1875596834059508
2023-06-02,2023-06-30,19,0.9999691887922078,0.00028637241968687555,19.604907170376105,18.9237,0.6812071703761049
2023-06-09,2023-07-07,19,0.9999649655844484,0.0002889446554909541,18.890160123718264,19.0764,-0.18623987628173566
2023-06-15,2023-07-14,20,0.9999619873239476,0.0002907208745113385,18.396442534943066,18.0212,0.3752425349430659
2023-06-23,2023-07-21,20,0.9999636398813284,0.00028975177612457366,18.699742956520684,17.956,0.7437429565206841
2023-06-30,2023-07-28,20,0.9999652306318715,0.0002888059456169343,18.994420229613397,17.8692,1.1252202296133973
2023-07-07,2023-08-04,20,0.9999660025247515,0.00028834569310207114,19.148279524975454,18.685,0.4632795249754551
2023-07-14,2023-08-11,19,0.9999597147538647,0.0002921011376685602,18.081409416558113,18.8743,-0.7928905834418885
2023-07-21,2023-08-18,19,0.9999592312932775,0.0002923861450934291,18.015661060767876,19.0725,-1.0568389392321258
2023-07-28,2023-08-25,19,0.9999585988865646,0.0002927721564313353,17.928150181825774,18.6564,-0.728249818174227
